,Comments
75,We were learning easy things very thoroughly but when it came to more difficult scenarios we didn't have a lot a practice scenarios with difficult problems. I feel like the practice scenarios could have been tougher. I feel like the EVAL is going to be much harder than anything we
76,Somewhat agree.
77,The instructors were great however I believe the traffic demand should be decrease to ensure enough time on how and when to apply the proper restrictions.
78,"Though I am this individuals Operations supervisor, he has been with the training department since his arrival. I can not answer any of the above questions."
79,This course was not worth 4 weeks of my life. Please make it a CBI course.
80,"The vast majority of the instructors were very helpful, and taught me a great deal. However, a couple of the instructors had a tendency to want to run my scenarios for me sometimes on some of the later problems. For example, instead of letting me make a late turn and fix it myself"
81,I loved this course! I learned a lot of great things that I can take back to my facility. Definitely feel that this helped me far greater than RTF.
82,"Instructors were professional, obviously VERY knowledgeable, easy to interact with, and seemed to anxious to convey the information required."
83,The instructors were knowledgeable and well versed in the subject.
84,"The development and fielding of Nest Gen technologies is progressing at a rapid pace and field personnel would benefit from having access to a single data source which provides the current status of these technpologies. At present, the information seems to be disseminated by multip"
85,na
86,Great attitude and shared experience from the instructors.
87,Instructors did a good job.
88,Course material was good.
89,"The only major complaint I have for the class is the G1 G2 equipment used in lab, it would have been nice to gain practical experience on the equipment I will maintain at my facility. I was offered the opportunity when time allowed access to the ELITE and G4 equipment, which I did"
90,Please review the individual comments above.
91,I was impressed with the knowledge of the instructors. It was great to have instructors with real world experience.
92,"I was very impressed with the level of information provided during this course. I have not been able to work on the equipment by myself as of yet however, I am confident that if tasked could complete the service or repair."
93,Thomas Lynch provided us with all the tools and information necessary to be successful in the written and lab evaluations in this program. With his guidance I never felt like I was missing a concept nor was behind in the program. The A Lead Dave was a great help in the lab portion
94,Very effective. Very professional. Enjoyed the professional leaning environment compared to back home.
95,"This was a very good course, well presented"
96,the slides were made by another instructor but when you use them they are yours and should be presented as if you reviewed them before being taught. If the slides don't give the information that you need add to them to give the information you think is necessary.
97,Course needs more time to be effective! We would like to get an IPC out of this course. More time on POA's. There is no reason we shouldn't get a level 3 from this course. It would have been helpful if there were computers provided in the classroom that would be hooked up to the pr
98,Material useful
99,The instructors were interesting and entertaining. I strongly feel that these courses can be learned via eLMS and that the expense and time can be saved by not having the students travel to OKC.
100,"Overall, the course was very informative. the information presented definitely helped me to understand the Tower Data Link System."
101,The instructors were very approachable and would help with each problem that any student would have to the best of their ability.
102,If we are given more information to learn more time should be given to learn it. Non radar is a difficult course as is and showing scenarios in the practice problems one or two times is not enough practice to master it. More time should be allotted for non radar.
103,I think the non-radar course was structured very well. The pace is fast but if you stay on top of your work and studying it is very doable. The new non-radar problems definitely scaled way faster than anticipated but I can see where they will benefit me on the evaluations tomorrow.
104,not needed but will be useful
105,Russ did a great job explaining the material. Well done.
106,Instructor was effective.
107,Very good coverage of new development software critical to our business
108,Karlie was great. Very knowledgable and able to answer most if not all questions.
109,The course material had recently been re-packaged to modify the materials to be taken by the student. In my opinion more materials should have been made available for the student to make notations on that could be taken following the class. As a practical application workshop I bel
110,"The content of this course was very well constructed, the simulator was a great addition."
111,Don't put CKT 1 near non-radar evaluations it takes away from preparing for evaluations and not having enough time to put in for studying!
112,Awesome class and it was so good to have engaged subject mater experts teaching instead of temp instructors.
113,"All the instructors contributed well overall. I was a little frustrated early on with some instructors ""helping"" run the problem by instructing me to turn a/c, but in the end they explained the reasoning and I learned it."
114,1. Many sections of the course were rushed; this course could be made longer. 2. Legal Council didn't bring much additional information other than what was read from the screen. I was hoping to learn more from him.
115,Mike is extremely knowledgeable with a great attitude and methodology of presentation. Outstanding class
116,"keeping the same instructor would be a wonderful thing, but staffing is an issue from what I understand, it would help with the teaching and learning process!"
117,"I feel the way the course should be more ""real world"" oriented. The way we are taught here at the Academy seems to be a world of difference from the way it is done out in the field. I feel it would be more appropriate to be a little more flexible in the way situations are handled s"
118,"The way radar evaluations are graded at the Academy should, in my opinion, be heavily revised. The FAA spends so much time and money getting students to the Academy, training them for months, and then washes out 10-20% of their students who would make great controllers because of t"
119,"All instructors were extremely knowledgeable and friendly, and willing to address and questions and concerns."
120,The Instructor Michael (used to work Terminal) was a great instructor and really did a nice job.
121,Employee resigned from the agency.
122,"The course content, pace and structure were well done. I appreciate having us learn how to do the work, i.e plotting prior to using the computer."
123,Instructors were excellent.
124,"Repair and service parts should be ordered before class start dates, so theirs no conflict and who's paying foe which items"
125,Closed: Sat
126,Cecil and Mark were always available to answer questions and clarify confusions. Also all the lab instructors were instrumental in my development.
127,The instructors were very helpful. They was some points were the leads and instructors were giving us different information but that was quickly sorted out. Other times it felt that the instructors wouldn't give the student enough time to try to figure it out themselves and just ju
128,"Overall, I feel the course was a fair test to my knowledge and abilities."
129,Kent Story is a wonderful instructor
130,Overall course was great. Learned a lot from all the instructors. Rob Mizell was an excellent lead and instructor as well as Matt and Jeff in the labs. They taught everything we needed to know.
131,Very informative and useful. Great instructors.
132,Good information.
133,Very effective instructors.
134,I enjoyed the End of Course activity.
135,That's it.
136,Roy and Joe were effective at teaching us non radar. Both were extremely knowledgeable in the field of ATC. I look forward to working with them in the radar labs.
137,"Some RPO's were not up to standard during Radar scenarios. The availability of the ""checklist"" lab was a huge help in getting more time on the keyboard. Having students be able to shadow other students runs would help, as this would give us more time in the lab practicing scanning"
138,"Thomas Lynch was our fearless leader. I thank God everyday that we got him as our instructor. I always see other instructors coming into our class to ask Thomas difficult questions and he would always have the right answer. I loved his poker chip method of random selection, it kept"
139,"Gary was approachable and nice, however sometimes he would get me lost in the way he explained things. He was often very vague or hypothetical. Mac was seldom in class and when he was he did not provide much instruction to the class. I had heard he was a ""non radar legend"" but didn"
140,The information was well explained and paced. The instructor was more than accommodating to ensure all the information being taught was understood and applicable when it came to lab exercises.
141,There was very little pre-study materials available to send to trainees --- that needs to change.
142,Individual is now FPM however the curriculum will be helpful in his current position or if he should leave it.
143,An instructor from another class which was named LeBlanc came into our classroom and stole all of our coffee and other things that we owned. This is not acceptable. We are under enough stress to pass and have a career and we do Not need to be picked on by an instructor who isn't ev
144,"Overall course was presented well, and material was good enough for me to feel like I have basic understanding of the air traffic control system."
145,"The Instructors were all Great, the knowledge and presentation of the material was Great!"
146,This training is optional for the employee
147,"Instead of reviewing appropriation laws, narrow the course down to office level funds certification."
148,"The course instructors were highly effective. They did an outstanding job, especially considering the limitations imposed upon them the issues stated in the comments in the other areas of this critique. They should be designated as OJT trainers and authorized to certify level 1, 2,"
149,One of the best presented classes I have attended.
150,The break out room and labs were a great way to learn radar. Have computers in the class to work on computer message really helped to prepare for the next ERAM problem.
151,Having an instructor with prior flying background combined with his passion for teaching made this course very enjoyable. I felt that the course could be shortened by at least a week. I also felt that the ATC Clearances lesson plan at the very end of the course should be moved clos
152,All instructors I dealt with were very knowledgeable and helpful.
153,INSRTUCTORS WRE VERY KNOWLEDGEABLE AND EXTREMLY HELPFULL.
154,"THIS WAS EASILY AND BY FAR THE MOST DIFFICULT CLASS THAT I HAVE TAKEN AT THE ACADEMY. RICH AND TOM WERE BOTH EXCELLENT IN THEIR PRESENTATION, KNOWLEDGE OF THE SUBJECT, AND WILLINGNESS TO AID THE STUDENTS IN THE CLASS."
155,"Enjoyed the experience, limited budget constraints were overcome by the instructors ."
156,After working the new problems versus the old problems I am happy that we got to work the new scenarios (assuming the evaluations will be more similar to the new scenarios) however I do wish the new scenarios weren't so busy that it hindered my learning at times. We get so busy ans
157,Mac and Gary were great instructors who really knew the best ways to teach the course.
158,great job
159,Best class I have had since I have worked for the FAA.
160,I do not have low pressure chillers at my facility. That being said the course was informative and the instructors knew their stuff.
161,"The main instructors, Thomas and Mark, were very helpful and knowledgeable. They did a good job answering questions and trying to come up with ways to help us prepare for evals. A couple of the instructors helping with the problems were less so. Wes, for example, seemed very harsh"
162,"we were the first class to be provided the ""new"" non-radar practice problems (NR14-NR26). What I have heard from previous classes is that this should help us to understand the evaluation problems and I agree that the new more difficult problems where important though I feel that we"
163,"The lead instructors Rich and Rich were knowledgeable and easy to approach with questions.The row instructors were very helpful in learning, but were not always on the same page as the lead instructors in terms of how to say or do certain things which led to confusion."
164,The instructor taught me a lot.
165,"The amount of passion shown through the instructor was pleasing. You could tell he was there to help in any way he could. He broke down material in a way, I'm sure, everyone could understand. It's nice to be encouraged and know the person teaching you genuinely cares."
166,The course was informative and helped to understand all ATC concepts needed to be successful in the field.
167,Overall I wish we would have touched on more Air Traffic Control topics and less on the instruments of an aircraft and pilot subjects.
168,"We had several instructors, and names are not my strong suit. Kent Story stood out to me as an exceptional instructor. He enjoyed the material (even the self admittedly boring material) and presented it in a way that was easy to understand and kept my attention throughout the lesso"
169,Course was excellent. The content has a slight bend to conduct. It would be helpful to discuss more corrective actions around poor performers.
170,"The labs could some times be tedious. Suggest changing the labs to different types of scenarios such as outside measurements of towers, reviewing models, etc. Also, we would have all liked to keep a model of the airspace. If you are worried about cost increase the cost of this cour"
171,"Great course, wouldn't change a thing"
172,Effective
173,Roy and Joe were overall good instructors. Roy works very hard to help us out. Joe you can tell cares very much about the class's success. I have appreciated having both instructors. Joe does need someone to keep him on track however. Roy would usually have to keep him on target du
174,"Instructors were very effective. You can tell they wanted to be here and wanted us to succeed, which I think pushed many students to try and be better."
175,The instructors did what they can sometimes contradicting each other but that's to be expected they are not hear to take the course for you so like I said everything is giving to you its for you to apply it.
176,meehhh +1
177,Very knowledgeable instructor's who really knew there stuff.
178,"Dave is very knowlegde, passionate, and very funny that he brings a very energized atmosphere in to the class. By just that it made the class very enjoyable to be in."
179,The instructors did a very good job for a class that is a knowledge based course.
180,Course was helpful.
181,"The instructors that come in for labs only, would sometimes teach us things that our lead would advise us not to do, and that is very counterproductive in many cases."
182,"Everything was good, well organized, props to the instructors for making the best use of time, since this amount of material requires more days."
183,Course was good to get the feel of web opss.
184,Learned the importance of repetivness in instruction and the importance of following a lesson plan
185,There is a large amount of information that is presented in the course. More time than 5 days would be beneficial for the students.
186,"Instructor explained the system in very easy, understandable terms."
187,The instructors were the best.
188,Rich and Rich were great. Learned a great amount of material from them.
189,"Employee completed an Enforcement package, which required only minor review."
190,Good
191,"Great course, great instructors, great information!! Only one thing I would do is have AFS-760 do more than review foreign pilot information. I would suggest a mil-comp, their documents, type ratings, etc."
192,Finally a course relevant to my job requirements.
193,"The course seemed a little short, there was a great deal information put out."
194,Very useful for someone that is just starting out in TMU
195,The instructors kept the class engaged. They are very enthusiastic and knowledgeable.
196,"The only other class that I have received that was nearly as effective as this was a Flight Safety Emergency Evacuation class in Georgia(non-FAA). The course presented this material in a way that gave me excellent background followed by real, practical steps to take in managing my"
197,"I really enjoyed my main instructor Michael Baptiste. His way of teaching really helped me reinforce my learning. I felt it was unfair that we did go through 5 secondary instructors in this month of training. I understand why Charles and Rick had to go, but why were we given 2 diff"
198,"The instructors are very helpful, they know the material extremely well and have the ability to teach it in a manner that is well understandable."
199,Well organized material.
200,Employee enjoyed the course and truly enhanced his abilities to service NAS equipment. ty
201,"Fire Paul Martinez.Pay the instructors, RSO's, and RPO's more. Stop subcontracting the RPO's, it creates unnecessary complications between management at the contractor/FAA level. I think that it is unfair that tower students run 7 scenarios a day, they should run 6 scenarios a day"
202,"Glen was so great! He really knows his stuff well and if he wasn't sure about something, he made sure to get the right answer. Ric was good as well."
203,I enjoyed working with most of the r sides in the radar lab. There was an r side who made it hard to concentrate on the problem due to talking to other r sides or instructors or acting annoyed if I was behind in the problem. It makes running a problem hard to run because of the ext
204,Content and material were overall straight forward.
205,The course was presented in a well organized plan.
206,Superb Instructors who knew their stuff and ENJOYED teaching us and passing on the info for us to flourish in the fleet.. Great Job!!
207,Good Job for the Instructors teaching. :)
208,Exelent
209,Great instructors. They knew their material and were really nice to learn from.
210,"Tim and Rainer are two of the best instructors I have had. They are very knowledgeable, friendly and know how to make this subject appealing to the different levels of expertise that each participant had. Excellent work guys."
211,The lesson plans about vectoring should NOT be included since we DO NOT use that information at all. It takes time away from learning information pertinent to succeeding in this course.
212,None
213,"Rob's humor helped me get through the boring lectures. His teaching style kept me more awake and interactive. My instructors in the lab were Ron and Pete. Both are solid, knowledgeable instructors who genuinely wanted to help me get better. I have zero complaints about either of th"
214,The class was an excellent review of previous material I have covered outside of the FAA. My only recommendation would be to add an additional day for better pacing.
215,They all did great.
216,The course would have been more effective if it was longer. I feel like I would be a more efficient technician with more time with the equipment.
217,Excellent course. A lot of data entry.
218,Excellant
219,"Once the course information is updated, the class will be a great piece of instruction."
220,I think the students would benefit with an extra day or two with the harder problems to prepare for the evaluations. By the time you get to the more difficult scenarios you jump right away into the evaluation.
221,Some of the instructors were very helpful and it was obvious that they want you to succeed and to learn as much as you can with the time they have with you. Where as others weren't as helpful and pretty much let you figure stuff out on your own regardless of if they saw that it was
222,I didn't like how the course was formatted. The way it was taught was we quickly read the chapters as a group and then worked through problems. A lot of times in the problems we were doing stuff before reading the chapter on it. If it was done in reverse it would be better. Without
223,"COURSE WAS SOMEWHAT APPROPRIATLY PACED. LABS WERE A LOT OF FUN. I'M GLAD OUR CLASS WAS SHOWN NEW MATERIAL TWO DAYS BEFORE THE EVAL WITH THE NEW PROBLEMS, HOWEVER I'M NOT SURE IF IT GOT US READY OR WE HAD ENOUGH TIME TO APPLY THESE NEW PROBLEMS FOR THE EVALS."
224,Ripped off by Jiffy lube by 23rd and MacArthur.
225,"The Instructors were awesome, I always enjoy classes that are taught by Mr. Salazar. He is a great instructor with a lot of background that is useful to us back in the field."
226,"both instructors did well with explain material, they seemed rushed for time in teaching the material."
227,"Great Class, very useful info. Need to update powerpoint slides."
228,Lots of interaction and ways to practice the skills.
229,Mike and Greg did an excellent job presenting the information in an entertaining way.
230,"The instructors were great! Different, as we all are, but all were able to teach me! Great group!"
231,Good course. Liked the hands on training available.
232,I feel the content was OK
233,One of the best FAA classes I have attended. Instructors were great.
234,"The instructors were very knowledable and approachable. I think I would benefit from additional constructive criticism . . . I want both positive and negative feedback. My briefing was well received, but I strive to do better each time I present the material."
235,Great course. Flowed at a good pace. Never felt rushed as a student. Generated a lot of good information.
236,I feel that we need to get into the radar labs sooner than we did or extend how long the labs are. Also the strip marking book is excellent for Non-Radar but needs upgraded for Radar. There are only 2 or 3 examples in the strip marking guide to look at.
237,The course is overwhelming and I strongly think it needs to be extended one more week. Basics can be consolidated to four week and that extra week should be used for something as complex as non radar.
238,I think the course is very well planned and was effective for my learning.
239,Chuck is a professional instructor and an asset to the FAA. I appreciate him sharing his experiences and he was very receptive to everyone. He is consistently easy to be with and learn from.
240,Both Thomas Lynch and Mark Sycle are extremely helpful teachers. They are professional and masters of the material. Enthusiastic about helping the students learn and pass the program.
241,I wish there was a practice lab after class where I could stay on campus and study. I don't have a strip board where I live and it would have been nice to practice more here. In my CTI school we were allowed to access the lab anytime we want and practice.
242,Mac & Gary we're great.
243,Russ did an excellent job!
244,"very good instructor, he was professional and very knowledgeable of the subject"
245,Excellent instructors with a very good understanding of aeronautical charting applications. they kept the class engaged.
246,The instructors for this course kept things lively and interesting. They had experience in this subject and were able to give real life examples of the subjects they discussed.
247,the instructors were knowledgeable and helpful
248,"Content was good, however, having dual monitors would greatly enhance efficiency and the learning environment."
249,Met my expectations and covered many of the areas I deal with currently in my office where I have felt lacking in knowledge.
250,Larry Ross was extremely knowledgeable and had a great presence for presenting the material. Bob Enoch also did an excellent job.
251,"Great attitudes and interaction. Again, good class."
252,"Cecil and Mark were excellent and went above and beyond to help me succeed. Phil, Glenn, Ron, Rick, Tim and Joe Armstrong were always going out of their way to help in any way they could and I really appreciated that."
253,"Overall, most instructors were very knowledgeable of the subject material. There were times when it would have been more helpful for Kent to teach a particular lesson due to his background of being a pilot as well as an ATC specialist. Many times the instructor deferred to Kent for"
254,"There should be more emphasis placed on phraseology towards the beginning of class. Also, there should be exercises or more emphasis from instructors about using the correct phraseology throughout the length of the class."
255,The instructors were well prepared and entertaining.
256,This course is very informative but slightly outdated. As the NAS starts to incorporate new systems there should be some training put forward of its arrival not waiting until it is 40% in place already.
257,More hands on training.
258,Excellent course - very helpful!
259,The course was very enjoyable except for the exercises. I especially liked the Jeopardy game and of course the Airbus Simulator. Being able to see this technology in the Airbus was highly effective. I also thought the use of eLMS courses was a good use of our time for those that we
260,The instructor was highly efficient in the teaching of the course. Made topics easy to understand and was involved with the students. Very satisfied with the performance from the instructor.
261,"I am a front line manager, so technically the training is not required for me. I found the course, however, to be helpful and insightful."
262,Execellent
263,The course materials are relevant and important. I'd suggest including an overview for eLMS administration since this is also part of the 3120-1 and AT Training. A demonstration is better than nothing (especially since HQ is mandating completions for Recurrent Workshops in eLMS). P
264,"I thought Chuck did well in presenting what can be a rather dry subject in a way that kept things moving and without getting too much ""power point overload"". The times to work through things using the TRAX program itself as well as to ask site specific questions was invaluable."
265,The student would benefits more if they includes more interaction group activieties instead of lecturing for most of the day.
266,"Some of the course organization could be improved. It would be helpful to talk about a 44709, then write a POA for one, and then use that POA in the practice exercise. Then move on to a more complex POA. Working simple to complex would have been more effective for me. Instead we wr"
267,Fred and Jason were great instructors and always took there time to explain the concepts.
268,Geared more to the FPT functions.
269,"Excellent knowledge of subject matter, and kept the class on point."
270,Great
271,The instructors did pretty good during lecture to try to keep us interacting and engaged.
272,"My job currently does not require TARGETS; however, it may in the future."
273,"Thomas Lynch and Mark Sickle are excellent, knowledgeable and helpful instructors. Very pleased I have them instructing me for these 3 months. Have heard stories of other instructors not quite this caliber and can't help but wonder about how that impacts their career's. As far as e"
274,"It is a lot of material in a short period of time. Take all of the information and applying it to the job is a lot of work. The new scenarios are great if they are like the scenarios in the evaluations. However, because they are so new they are still working out the kinks in them."
275,Jeff and Dave are both amazing instructors. They were very knowledgeable and cared greatly about our progress throughout this program. It was apparent that they wanted all of us to succeed. Both instructors were always asking us if we had any questions and would encourage us to ask
276,Excellent and very well presented by instructors who have passion for the subject.
277,"This course was very helpful to me and I am so grateful to have been able to participate in it. Although I graduated from a CTI school, some time has passed since I was last familiarized with the subject matter. I truly believe this course will help me to be successful in the next"
278,Teamwork should be done after the final and should be taken off the basics practice assessment exam. Very detailed content but the class overall could be shortened. Some lessons that are 7 hours don't need 7 hours.
279,I thoroughly enjoyed the class and believed that it helped enhance my knowledge of aviation and learn some basic information that I will be required to know. I do wish that we would have had a set instructor during the basic course so that we would not have jumped around with diffe
280,"Kent is an excellent instructor and should be an example for other contractors employed by the FAA. The difference between Kent and other instructors was extraordinary - he was prepared, engaging, and approachable. When Kent was moved to teach certain lessons to other classes I fel"
281,VERY EFFECTIVE COURSE.
282,very well presented by instructors
283,"Helpful, knowledgeable, and wouldn't change a thing."
284,"Well prepared, well thought out, well instructed."
285,None.
286,"Bob, Mike, and Al were all very helpful. They took time to answer individual questions, demonstrate, and explain various tasks in the lab. Thanks for the excellent team of instructors."
287,"Overall the course has been highly effective to get me ready to take my evals. I think a couple of the lessons in the classroom portion of the class were not very relatable to what we need to know for the labs, ie radar vectoring. We never use radar vectoring here but when it comes"
288,The overall course provides you with the knowledge to pass you are the one to put in the effort. I have been told that the R-Side and ghost pilots are top of the line for evals unfortunately they are not during your lab training which can pose a problem if you have a horrible probl
289,Very effective! Enjoyed all of them and think the varying styles and backgrounds made for a more enjoyable experience. Looking forward to working with them throughout string training.
290,The instructors were knowledgeable and approachable. Always willing to answer questions. I liked that Larry pulled up the actual OpsSpecs and showed us the current selections available.
291,"The point system for my class was 10 points for academics, 2 LC (30 points each), and 2 GC (15 points each). Total points was 100 and points needed to pass was 70+. The thought of failing one local can determine whether you pass or failed and it is easy to have a bad run or a good"
292,The name of the course is deceiving. The course was excellent but not what I was expecting. I expected a class on opsecs and manual writing.
293,"This course is managed by AFS-500, but there are no questions above that provide comment for improvement of AFS-500 with regard to this course. Scheduling and any scheduling difficulties should be specifically addressed in these critiques."
294,More emphasis on flight inspection procedures
295,I found this to be a very good course. I do not have a RADAR background and I felt that I now have a basic understanding.
296,Instructors Charlie Manbeck and Mike Smith were extremely helpful with the coarse material. Had a lot of knowledge to share.
297,Dave was a great instructor. He was patient with questions and extremely knowledgeable. Two enthusiastic thumbs up!
298,Instructors were AWESOME! It was refreshing to have instructors that were passionate about the material and subject of the course. Great job!CLOSED -- SAT (Learning occurred)
299,The course was easy to understand especially for people coming from off the street such as myself.It was a little slow at times but not too bad. Quite a few typos in the reading material but nothing major.
300,more hands on learning and visual aids would be helpful
301,Rich and Rich were fantastic instructors that are very good at what they do. They work well together and both teach the same way making for less confusion when learning concepts. I feel our class was very lucky to have such great instructors and I hope our class success rate will r
302,Both Rich Green and Rich Wiggins were very helpful in all aspects. If there was a problem or question they took care of it promptly.
303,Instructors were knowledgeable.
304,I came in completely off the street so I enjoyed all of the content and found it all to be interesting and helpful.
305,Overall the course was helpful.
306,Both instructors were highly knowledgeable about content.
307,Mr. Kennedy was very knowledgeable in this class to have as an instructor. He went above and beyond to make sure that our whole class knew the processes for what to do in each area for administrative training.
308,"Stressing the importance of, and having instructors grade, controller judgment issues earlier in the scenarios would help students have a better understanding of priorities. I never once got told something was a higher priority and should of been accomplished first in a scenario as"
